fold,epoch,accuracy_pangolin,accuracy_other,recall_pangolin,recall_other,precision_pangolin,precision_other,f1_pangolin,f1_other,auc_pangolin,auc_other
0,1,0.7142857142857143,0.7142857142857143,0.0,1.0,0.0,0.7142857142857143,0.0,0.8333333333333334,0.9111111111111112,0.9111111111111112
0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,1,0.7142857142857143,0.7142857142857143,0.0,1.0,0.0,0.7142857142857143,0.0,0.8333333333333334,0.8333333333333334,0.8333333333333334
1,2,0.9523809523809523,0.9523809523809523,0.8333333333333334,1.0,1.0,0.9375,0.9090909090909091,0.967741935483871,0.9777777777777779,0.9777777777777779
1,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,1,0.7142857142857143,0.7142857142857143,0.0,1.0,0.0,0.7142857142857143,0.0,0.8333333333333334,0.8666666666666667,0.8666666666666667
2,2,0.7142857142857143,0.7142857142857143,0.0,1.0,0.0,0.7142857142857143,0.0,0.8333333333333334,0.9444444444444444,0.9444444444444444
2,3,0.9047619047619048,0.9047619047619048,1.0,0.8666666666666667,0.75,1.0,0.8571428571428571,0.9285714285714286,0.9888888888888889,0.9888888888888889
2,4,0.9047619047619048,0.9047619047619048,1.0,0.8666666666666667,0.75,1.0,0.8571428571428571,0.9285714285714286,1.0,1.0
2,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,1,0.6818181818181818,0.6818181818181818,0.0,1.0,0.0,0.6818181818181818,0.0,0.8108108108108109,0.7904761904761906,0.7904761904761906
3,2,0.9090909090909091,0.9090909090909091,0.7142857142857143,1.0,1.0,0.8823529411764706,0.8333333333333334,0.9375,0.9619047619047619,0.9619047619047619
3,3,0.9545454545454546,0.9545454545454546,1.0,0.9333333333333333,0.875,1.0,0.9333333333333333,0.9655172413793104,1.0,1.0
3,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,1,0.6818181818181818,0.6818181818181818,0.0,1.0,0.0,0.6818181818181818,0.0,0.8108108108108109,0.9047619047619048,0.9047619047619048
4,2,0.8636363636363636,0.8636363636363636,0.5714285714285714,1.0,1.0,0.8333333333333334,0.7272727272727273,0.9090909090909091,0.9619047619047619,0.9619047619047619
4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,12,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,14,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,15,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
